Ticker,ETF_Name,Issuer
"FXI","China Large-Cap","iShares (BlackRock)"
"MCHI","China Broad","iShares (BlackRock)"
"KWEB","China Internet","KraneShares"
"INDA","India","iShares (BlackRock)"
"SMIN","India Small-Cap","iShares (BlackRock)"
"EWT","Taiwan","iShares (BlackRock)"
"EWY","South Korea","iShares (BlackRock)"
"EWM","Malaysia","iShares (BlackRock)"
"EIDO","Indonesia","iShares (BlackRock)"
"THD","Thailand","iShares (BlackRock)"
"EPHE","Philippines","iShares (BlackRock)"
"EWZ","Brazil","iShares (BlackRock)"
"EWW","Mexico","iShares (BlackRock)"
"ECH","Chile","iShares (BlackRock)"
"EPU","Peru","iShares (BlackRock)"
"TUR","Turkey","iShares (BlackRock)"
"EPOL","Poland","iShares (BlackRock)"
"KSA","Saudi Arabia","iShares (BlackRock)"
"UAE","UAE","iShares (BlackRock)"
"QAT","Qatar","iShares (BlackRock)"
"EZA","South Africa","iShares (BlackRock)"
"ILF","Latin America 40","iShares (BlackRock)"
"VNM","Vietnam","VanEck"
"EGPT","Egypt","VanEck"
"ARGT","Argentina","Global X"
"GXG","Colombia","Global X"
"NGE","Nigeria","Global X"
"GREK","Greece","Global X"
