Ticker,ETF_Name,Issuer
"XLK","Technology","SPDR (State Street)"
"XLF","Financials","SPDR (State Street)"
"XLE","Energy","SPDR (State Street)"
"XLV","Health Care","SPDR (State Street)"
"XLY","Consumer Discretionary","SPDR (State Street)"
"XLP","Consumer Staples","SPDR (State Street)"
"XLI","Industrials","SPDR (State Street)"
"XLB","Materials","SPDR (State Street)"
"XLRE","Real Estate","SPDR (State Street)"
"XLU","Utilities","SPDR (State Street)"
"XLC","Communication Services","SPDR (State Street)"
